fragment,counter
[*]O[C@@H]([*])CCNC,2
[*]NCCC[S+](C)C,2
[*]C(=O)[C@@H](C)[C@H](O)[C@@H](C)N[*],2
[*]C(=O)[C@@H](N[*])[C@@H](C)O,19
[*]OC1C(O)C([*])OC(CO)C1O,3
[*]OC1OC(CO)C(O)C(O[*])C1O,3
[*]OC1OC(CO)C(O)C(O)C1O[*],2
[*]OC1OC(CO)C(O)C(O)C1[*],2
[*]OC1C([*])OC(CO)C(O)C1O,2
[*]C1OC(CO)C(O)C(O)C1[*],2
[*]NC[C@H](N)C(N)=O,2
[*]C[C@H](N)C(N)=O,2
[*]NCC[*],55
[*]C(=O)[C@@H](N[*])[C@@H]([*])[*],2
[*]C(=O)[C@@H](N[*])[C@H]([*])O[*],2
[*][C@H]([*])CC(N)=O,2
[*]C(=O)C1:N:C([*]):N:C(N):C:1C,2
[*]N[C@H]([*])CC(N)=O,2
[*]C1:C:S:C([*]):N:1,21
[*]C(=O)C1:C:S:C([*]):N:1,4
[*]CCCl,17
[*]CCCC(=O)O,14
[*]N([*])C1:C:C:C([*]):C:C:1,5
[*][C@H](C)C1:C:C:C:C:C:1,2
[*]C(=O)C1:C:N:C:N:1[*],2
[*]C(=O)C1:C:N:C:N:1[C@@H]([*])C,2
[*]C(=O)C1:C:C:C(N([*])C):S:1,2
[*]CC1:C:C:C2:[NH]:C(C):N:C(=O):C:2:C:1,2
